identifier,lines
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","2.      The meeting was chaired by Shri Sanjay Malhotra, Governor and was attended"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","by all the members – Dr. Nagesh Kumar, Director and Chief Executive, Institute for"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Studies in Industrial Development, New Delhi; Shri Saugata Bhattacharya, Economist,"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Mumbai; Professor Ram Singh, Director, Delhi School of Economics, Delhi; Dr."
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Poonam Gupta, Deputy Governor in charge of monetary policy and Shri Indranil"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Bhattacharyya, Executive Director (the officer of the Reserve Bank nominated by the"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Central Board under Section 45ZB(2)(c) of the Reserve Bank of India Act, 1934)."
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","3.     According to Section 45ZL of the Reserve Bank of India Act, 1934, the Reserve"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Bank shall publish, on the fourteenth day after every meeting of the Monetary Policy"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Committee, the minutes of the proceedings of the meeting which shall include the"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","following, namely:"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",(a) the resolution adopted at the meeting of the Monetary Policy Committee;
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","(b) the vote of each member of the Monetary Policy Committee, ascribed to such"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","member, on the resolution adopted in the said meeting; and"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",(c) the statement of each member of the Monetary Policy Committee under sub-
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",section (11) of section 45ZI on the resolution adopted in the said meeting.
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","4.      The MPC reviewed in detail the staff’s macroeconomic projections, and"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",alternative scenarios around various risks to the outlook. The MPC also reviewed the
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","surveys conducted by the Reserve Bank to gauge consumer confidence, households’"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","inflation expectations, corporate sector performance, credit conditions, the outlook for"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","the industrial, services and infrastructure sectors, and the projections of professional"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",forecasters. Drawing on the above and after extensive discussions on the stance of
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","monetary policy, the MPC adopted the resolution that is set out below."
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",Resolution
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",5.     The Monetary Policy Committee (MPC) held its 59th meeting from February 4
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","to 6, 2026, under the chairmanship of Shri Sanjay Malhotra, Governor, Reserve Bank"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","of India. The MPC members Dr. Nagesh Kumar, Shri Saugata Bhattacharya, Prof."
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Ram Singh, Dr. Poonam Gupta and Shri Indranil Bhattacharyya attended the meeting."
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",6.     After a detailed assessment of the evolving macroeconomic and financial
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","developments and the outlook, the MPC voted unanimously to keep the policy repo"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",rate under the liquidity adjustment facility (LAF) unchanged at 5.25 per cent.
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Consequently, the standing deposit facility (SDF) rate remains at 5.00 per cent and"
