"","identifier","lines"
"1","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026"," �ेस �काशनी PRESS RELEASE"
"2","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"3","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"4","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"5","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"6","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","      भारतीय �रज़वर् ब�क"
"7","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","RESERVE BANK OF INDIA"
"8","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"9","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","    वेबसाइट : www.rbi.org.in/hindi    संचार िवभाग, क� �ीय कायार्लय, शहीद भगत �संह मागर्, फोटर्, मुब"
"10","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","                                                                                                  ं ई - 400 001"
"11","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","       Website : www.rbi.org.in       Department of Communication, Central Office, Shahid Bhagat Singh Marg, Fort,"
"12","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","   ई-मेल/email : helpdoc@rbi.org.in   Mumbai - 400 001 फोन/Phone: 022 - 2266 0502"
"13","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"14","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"15","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","                                                                                                  February 20, 2026"
"16","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"17","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","                 Minutes of the Monetary Policy Committee Meeting,"
"18","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","                                February 4 to 6, 2026"
"19","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","             [Under Section 45ZL of the Reserve Bank of India Act, 1934]"
"20","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"21","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","    The fifty-nineth meeting of the Monetary Policy Committee (MPC), constituted"
"22","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","under Section 45ZB of the Reserve Bank of India Act, 1934, was held during February"
"23","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","4 to 6, 2026."
"24","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","2.      The meeting was chaired by Shri Sanjay Malhotra, Governor and was attended"
"25","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","by all the members – Dr. Nagesh Kumar, Director and Chief Executive, Institute for"
"26","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Studies in Industrial Development, New Delhi; Shri Saugata Bhattacharya, Economist,"
"27","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Mumbai; Professor Ram Singh, Director, Delhi School of Economics, Delhi; Dr."
"28","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Poonam Gupta, Deputy Governor in charge of monetary policy and Shri Indranil"
"29","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Bhattacharyya, Executive Director (the officer of the Reserve Bank nominated by the"
"30","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Central Board under Section 45ZB(2)(c) of the Reserve Bank of India Act, 1934)."
"31","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","3.     According to Section 45ZL of the Reserve Bank of India Act, 1934, the Reserve"
"32","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Bank shall publish, on the fourteenth day after every meeting of the Monetary Policy"
"33","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Committee, the minutes of the proceedings of the meeting which shall include the"
"34","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","following, namely:"
"35","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","   (a) the resolution adopted at the meeting of the Monetary Policy Committee;"
"36","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","   (b) the vote of each member of the Monetary Policy Committee, ascribed to such"
"37","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","       member, on the resolution adopted in the said meeting; and"
"38","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","   (c) the statement of each member of the Monetary Policy Committee under sub-"
"39","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","       section (11) of section 45ZI on the resolution adopted in the said meeting."
"40","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"41","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","4.      The MPC reviewed in detail the staff’s macroeconomic projections, and"
"42","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","alternative scenarios around various risks to the outlook. The MPC also reviewed the"
"43","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","surveys conducted by the Reserve Bank to gauge consumer confidence, households’"
"44","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","inflation expectations, corporate sector performance, credit conditions, the outlook for"
